date,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5,batch_id
2020-06-24,9.0,0.0,10.0,9.0,0.0,0.0,32.0,20.0,27.0,12.0,16.323731138545952,0
2020-06-25,0.0,0.0,10.0,9.0,10.0,0.0,0.0,10.0,0.0,0.0,5.349794238683127,0
2020-06-26,18.0,0.0,21.0,19.0,0.0,9.0,0.0,0.0,18.0,24.0,14.9519890260631,0
2020-06-27,10.0,10.0,34.0,20.0,35.0,20.0,24.0,11.0,20.0,39.0,30.589849108367623,0
2020-06-28,9.0,0.0,0.0,9.0,10.0,9.0,11.0,10.0,9.0,12.0,10.83676268861454,0
2020-06-29,39.0,16.0,37.0,25.0,48.0,25.0,10.0,27.0,41.0,42.0,42.52400548696845,0
2020-06-30,8.0,40.0,46.0,49.0,47.0,25.0,29.0,27.0,56.0,10.0,46.22770919067216,0
2020-07-01,16.0,16.0,9.0,17.0,19.0,34.0,20.0,9.0,16.0,32.0,25.788751714677637,0
2020-07-02,8.0,59.0,29.0,42.0,48.0,35.0,30.0,18.0,17.0,11.0,40.74074074074074,0
2020-07-03,8.0,9.0,30.0,0.0,10.0,9.0,21.0,0.0,17.0,0.0,14.266117969821673,0
2020-07-04,26.0,27.0,30.0,18.0,31.0,18.0,11.0,30.0,18.0,46.0,34.97942386831276,0
2020-07-05,8.0,17.0,0.0,18.0,10.0,0.0,20.0,19.0,17.0,22.0,17.969821673525377,0
2020-07-06,15.0,16.0,27.0,8.0,19.0,24.0,29.0,26.0,16.0,0.0,24.691358024691358,0
2020-07-07,25.0,8.0,19.0,26.0,20.0,17.0,30.0,37.0,17.0,44.0,33.33333333333333,0
2020-07-08,17.0,26.0,29.0,26.0,10.0,18.0,10.0,19.0,0.0,22.0,24.2798353909465,0
2020-07-09,26.0,9.0,10.0,18.0,31.0,0.0,32.0,0.0,27.0,46.0,27.297668038408773,0
2020-07-10,17.0,9.0,31.0,37.0,21.0,18.0,43.0,10.0,18.0,35.0,32.78463648834019,0
2020-07-11,18.0,0.0,11.0,10.0,0.0,10.0,11.0,0.0,19.0,12.0,12.482853223593963,0
2020-07-12,18.0,0.0,0.0,10.0,23.0,19.0,46.0,10.0,10.0,0.0,18.655692729766802,0
2020-07-13,100.0,78.0,49.0,35.0,40.0,54.0,83.0,57.0,61.0,68.0,85.73388203017832,0
2020-07-14,17.0,17.0,20.0,35.0,20.0,18.0,21.0,19.0,17.0,0.0,25.240054869684496,0
2020-07-15,17.0,26.0,20.0,9.0,20.0,18.0,32.0,10.0,18.0,23.0,26.474622770919066,0
2020-07-16,18.0,9.0,11.0,19.0,54.0,0.0,22.0,31.0,28.0,24.0,29.629629629629626,0
2020-07-17,29.0,20.0,0.0,20.0,0.0,21.0,36.0,11.0,10.0,0.0,20.16460905349794,0
2020-07-18,30.0,10.0,24.0,11.0,49.0,32.0,25.0,57.0,10.0,27.0,37.72290809327846,0
2020-07-19,47.0,20.0,45.0,50.0,11.0,20.0,23.0,43.0,39.0,63.0,49.519890260630994,0
2020-07-20,8.0,17.0,10.0,26.0,30.0,18.0,41.0,10.0,17.0,11.0,25.788751714677637,0
2020-07-21,26.0,18.0,20.0,9.0,42.0,27.0,11.0,19.0,9.0,0.0,24.828532235939644,0
2020-07-22,18.0,0.0,21.0,9.0,0.0,9.0,11.0,0.0,9.0,0.0,10.562414266117969,0
2020-07-23,9.0,9.0,31.0,9.0,21.0,0.0,11.0,10.0,27.0,0.0,17.421124828532236,0
2020-07-24,17.0,9.0,20.0,37.0,21.0,9.0,22.0,30.0,18.0,12.0,26.748971193415635,0
2020-07-25,0.0,20.0,11.0,31.0,48.0,31.0,25.0,22.0,0.0,39.0,31.138545953360765,0
2020-07-26,0.0,9.0,11.0,0.0,22.0,10.0,11.0,21.0,19.0,36.0,19.067215363511657,0
2020-07-27,17.0,18.0,20.0,27.0,20.0,18.0,0.0,19.0,9.0,34.0,24.965706447187927,0
2020-07-28,0.0,0.0,19.0,17.0,10.0,9.0,20.0,0.0,9.0,0.0,11.522633744855966,0
2020-07-29,17.0,17.0,0.0,9.0,20.0,9.0,21.0,19.0,9.0,23.0,19.753086419753085,0
2020-07-30,8.0,18.0,10.0,18.0,10.0,9.0,32.0,19.0,18.0,35.0,24.2798353909465,0
2020-07-31,9.0,20.0,11.0,10.0,46.0,20.0,35.0,22.0,20.0,26.0,30.04115226337448,0
2020-08-01,21.0,0.0,0.0,22.0,0.0,11.0,13.0,12.0,21.0,41.0,19.34156378600823,0
2020-08-02,28.0,19.0,32.0,48.0,56.0,30.0,45.0,31.0,10.0,25.0,44.44444444444444,0
2020-08-03,17.0,0.0,0.0,18.0,20.0,26.0,21.0,0.0,9.0,22.0,18.244170096021946,0
2020-08-04,8.0,26.0,20.0,0.0,0.0,9.0,0.0,10.0,17.0,11.0,13.854595336076816,0
2020-08-05,8.0,9.0,10.0,17.0,10.0,9.0,0.0,9.0,0.0,11.0,11.385459533607682,0
2020-08-06,17.0,9.0,21.0,19.0,43.0,0.0,22.0,10.0,9.0,48.0,27.16049382716049,0
2020-08-07,9.0,20.0,11.0,20.0,12.0,10.0,23.0,11.0,10.0,25.0,20.713305898491083,0
2020-08-08,31.0,11.0,37.0,22.0,13.0,11.0,64.0,24.0,22.0,14.0,34.15637860082304,0
2020-08-09,20.0,10.0,35.0,21.0,24.0,11.0,12.0,34.0,21.0,13.0,27.57201646090535,0
2020-08-10,25.0,44.0,30.0,27.0,30.0,27.0,52.0,29.0,35.0,34.0,45.679012345679006,0
2020-08-11,17.0,18.0,10.0,0.0,10.0,18.0,0.0,10.0,0.0,23.0,14.540466392318242,0
2020-08-12,0.0,9.0,10.0,9.0,10.0,9.0,21.0,10.0,26.0,34.0,18.930041152263374,0
2020-08-13,9.0,9.0,20.0,0.0,10.0,27.0,10.0,29.0,0.0,23.0,18.792866941015088,0
2020-08-14,9.0,9.0,10.0,9.0,33.0,0.0,33.0,20.0,9.0,24.0,21.399176954732507,0
2020-08-15,31.0,32.0,24.0,32.0,12.0,21.0,38.0,35.0,21.0,27.0,37.44855967078189,0
2020-08-16,10.0,20.0,12.0,21.0,12.0,0.0,0.0,22.0,10.0,13.0,16.46090534979424,0
2020-08-17,17.0,0.0,40.0,0.0,20.0,18.0,0.0,10.0,9.0,0.0,15.637860082304526,0
2020-08-18,0.0,9.0,10.0,0.0,10.0,0.0,0.0,9.0,9.0,0.0,6.447187928669409,0
2020-08-19,25.0,34.0,59.0,44.0,0.0,9.0,41.0,19.0,26.0,45.0,41.426611796982165,0
2020-08-20,8.0,8.0,0.0,17.0,10.0,18.0,0.0,19.0,8.0,22.0,15.089163237311384,0
2020-08-21,24.0,34.0,10.0,17.0,10.0,18.0,10.0,0.0,17.0,33.0,23.73113854595336,0
