date,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1,batch_id
2020-06-18,14.0,11.0,20.0,26.0,13.0,16.0,22.0,14.0,21.0,20.0,19.97742663656885,0.0
2020-06-19,5.0,0.0,15.0,8.0,9.0,14.0,12.0,7.0,11.0,9.0,10.15801354401806,0.0
2020-06-20,15.0,4.0,13.0,19.0,27.0,20.0,3.0,13.0,4.0,18.0,15.349887133182845,0.0
2020-06-21,9.0,3.0,16.0,13.0,5.0,12.0,3.0,4.0,8.0,0.0,8.239277652370204,0.0
2020-06-22,7.0,6.0,10.0,8.0,17.0,7.0,9.0,17.0,18.0,9.0,12.189616252821672,0.0
2020-06-23,10.0,6.0,41.0,36.0,23.0,14.0,21.0,25.0,12.0,25.0,24.04063205417607,0.0
2020-06-24,13.0,10.0,15.0,12.0,9.0,15.0,9.0,7.0,8.0,3.0,11.399548532731378,0.0
2020-06-25,24.0,19.0,15.0,12.0,19.0,22.0,6.0,22.0,20.0,16.0,19.751693002257337,0.0
2020-06-26,8.0,3.0,4.0,4.0,19.0,7.0,12.0,4.0,15.0,3.0,8.91647855530474,0.0
2020-06-27,9.0,3.0,12.0,13.0,16.0,8.0,7.0,4.0,4.0,7.0,9.367945823927768,0.0
2020-06-28,11.0,13.0,8.0,13.0,5.0,8.0,6.0,4.0,8.0,16.0,10.383747178329573,0.0
2020-06-29,12.0,15.0,4.0,15.0,13.0,14.0,6.0,10.0,11.0,9.0,12.302483069977429,0.0
2020-06-30,0.0,9.0,11.0,8.0,13.0,0.0,6.0,4.0,7.0,9.0,7.562076749435668,0.0
2020-07-01,2.0,6.0,7.0,4.0,13.0,7.0,9.0,14.0,11.0,9.0,9.255079006772007,0.0
2020-07-02,3.0,3.0,0.0,0.0,23.0,14.0,6.0,14.0,11.0,15.0,10.045146726862304,0.0
2020-07-03,5.0,10.0,23.0,8.0,15.0,11.0,10.0,15.0,4.0,13.0,12.866817155756207,0.0
2020-07-04,15.0,11.0,17.0,14.0,10.0,12.0,7.0,8.0,18.0,10.0,13.769751693002258,0.0
2020-07-05,14.0,10.0,12.0,13.0,10.0,8.0,3.0,8.0,8.0,3.0,10.045146726862304,0.0
2020-07-06,5.0,6.0,11.0,4.0,9.0,3.0,3.0,11.0,4.0,9.0,7.336343115124153,0.0
2020-07-07,16.0,16.0,19.0,12.0,5.0,22.0,13.0,34.0,32.0,13.0,20.541760722347632,0.0
2020-07-08,5.0,6.0,0.0,8.0,5.0,11.0,15.0,11.0,0.0,9.0,7.900677200902934,0.0
2020-07-09,8.0,3.0,12.0,4.0,14.0,7.0,13.0,8.0,12.0,6.0,9.81941309255079,0.0
2020-07-10,3.0,3.0,8.0,0.0,10.0,8.0,7.0,4.0,4.0,10.0,6.4334085778781045,0.0
2020-07-11,13.0,4.0,14.0,20.0,6.0,5.0,8.0,23.0,10.0,4.0,12.076749435665915,0.0
2020-07-12,10.0,8.0,9.0,31.0,18.0,9.0,4.0,14.0,10.0,12.0,14.108352144469526,0.0
2020-07-13,8.0,7.0,8.0,34.0,15.0,8.0,6.0,16.0,4.0,13.0,13.431151241534991,0.0
2020-07-14,3.0,9.0,4.0,8.0,9.0,7.0,0.0,11.0,8.0,3.0,6.9977426636568865,0.0
2020-07-15,3.0,3.0,8.0,4.0,5.0,4.0,13.0,4.0,8.0,3.0,6.207674943566593,0.0
2020-07-16,5.0,3.0,8.0,13.0,15.0,7.0,3.0,4.0,12.0,3.0,8.239277652370204,0.0
2020-07-17,9.0,22.0,17.0,9.0,21.0,16.0,7.0,17.0,18.0,11.0,16.591422121896162,0.0
2020-07-18,4.0,17.0,20.0,5.0,19.0,15.0,4.0,20.0,5.0,13.0,13.769751693002258,0.0
2020-07-19,0.0,8.0,0.0,10.0,18.0,14.0,0.0,14.0,5.0,8.0,8.690744920993229,0.0
2020-07-20,0.0,11.0,8.0,18.0,5.0,21.0,10.0,8.0,0.0,18.0,11.173814898419865,0.0
2020-07-21,10.0,4.0,14.0,41.0,17.0,18.0,23.0,14.0,20.0,12.0,19.525959367945823,0.0
2020-07-22,18.0,7.0,17.0,27.0,26.0,20.0,21.0,12.0,9.0,14.0,19.30022573363432,0.0
2020-07-23,12.0,11.0,21.0,18.0,32.0,25.0,11.0,13.0,13.0,7.0,18.397291196388267,0.0
2020-07-24,3.0,11.0,16.0,14.0,10.0,16.0,17.0,12.0,0.0,7.0,11.96388261851016,0.0
2020-07-25,12.0,11.0,13.0,10.0,6.0,13.0,15.0,18.0,9.0,15.0,13.769751693002258,0.0
2020-07-26,16.0,23.0,22.0,40.0,34.0,35.0,15.0,27.0,19.0,22.0,28.55530474040632,0.0
2020-07-27,8.0,6.0,11.0,8.0,10.0,15.0,6.0,15.0,12.0,6.0,10.948081264108353,0.0
2020-07-28,3.0,3.0,8.0,0.0,15.0,12.0,3.0,8.0,8.0,10.0,7.900677200902934,0.0
2020-07-29,20.0,14.0,21.0,22.0,26.0,20.0,13.0,16.0,17.0,20.0,21.331828442437924,0.0
2020-07-30,15.0,21.0,38.0,9.0,21.0,29.0,7.0,17.0,27.0,21.0,23.13769751693002,0.0
2020-07-31,9.0,11.0,13.0,18.0,16.0,16.0,7.0,13.0,18.0,11.0,14.89841986455982,0.0
2020-08-01,15.0,7.0,18.0,5.0,5.0,9.0,7.0,26.0,14.0,11.0,13.205417607223476,0.0
2020-08-02,6.0,14.0,9.0,9.0,21.0,4.0,11.0,4.0,0.0,4.0,9.255079006772007,0.0
2020-08-03,8.0,13.0,4.0,20.0,19.0,7.0,15.0,15.0,12.0,6.0,13.431151241534991,0.0
2020-08-04,11.0,19.0,8.0,8.0,10.0,8.0,10.0,11.0,12.0,6.0,11.62528216704289,0.0
2020-08-05,14.0,7.0,8.0,17.0,5.0,23.0,7.0,20.0,21.0,3.0,14.108352144469526,0.0
2020-08-06,3.0,10.0,12.0,17.0,15.0,8.0,7.0,16.0,25.0,27.0,15.801354401805868,0.0
2020-08-07,15.0,17.0,24.0,22.0,30.0,12.0,17.0,28.0,21.0,24.0,23.702031602708807,0.0
2020-08-08,28.0,30.0,35.0,34.0,55.0,26.0,47.0,43.0,70.0,22.0,44.01805869074492,0.0
2020-08-09,12.0,29.0,26.0,32.0,43.0,25.0,14.0,25.0,23.0,11.0,27.08803611738149,0.0
2020-08-10,16.0,9.0,19.0,24.0,28.0,15.0,6.0,18.0,16.0,9.0,18.058690744920995,0.0
2020-08-11,11.0,25.0,18.0,33.0,32.0,11.0,15.0,18.0,12.0,16.0,21.557562076749438,0.0
2020-08-12,16.0,9.0,11.0,20.0,14.0,18.0,3.0,19.0,20.0,9.0,15.688487584650115,0.0
2020-08-13,0.0,16.0,22.0,20.0,14.0,4.0,18.0,11.0,12.0,12.0,14.559819413092553,0.0
2020-08-14,3.0,6.0,8.0,12.0,9.0,18.0,15.0,11.0,8.0,6.0,10.835214446952596,0.0
