iso_code,location,date,icu_patients,hosp_patients,population
OWID_AFR,Africa,2020-05-21,,,1340598113.0
OWID_AFR,Africa,2020-05-22,,,1340598113.0
OWID_AFR,Africa,2020-05-23,,,1340598113.0
OWID_AFR,Africa,2020-05-24,,,1340598113.0
OWID_AFR,Africa,2020-05-25,,,1340598113.0
OWID_AFR,Africa,2020-05-26,,,1340598113.0
OWID_AFR,Africa,2020-05-27,,,1340598113.0
OWID_AFR,Africa,2020-05-28,,,1340598113.0
OWID_AFR,Africa,2020-05-29,,,1340598113.0
OWID_AFR,Africa,2020-05-30,,,1340598113.0
OWID_AFR,Africa,2020-05-31,,,1340598113.0
OWID_AFR,Africa,2020-06-01,,,1340598113.0
OWID_AFR,Africa,2020-06-02,,,1340598113.0
OWID_AFR,Africa,2020-06-03,,,1340598113.0
OWID_AFR,Africa,2020-06-04,,,1340598113.0
OWID_AFR,Africa,2020-06-05,,,1340598113.0
OWID_AFR,Africa,2020-06-06,,,1340598113.0
OWID_AFR,Africa,2020-06-07,,,1340598113.0
OWID_AFR,Africa,2020-06-08,,,1340598113.0
OWID_AFR,Africa,2020-06-09,,,1340598113.0
OWID_AFR,Africa,2020-06-10,,,1340598113.0
OWID_AFR,Africa,2020-06-11,,,1340598113.0
OWID_AFR,Africa,2020-06-12,,,1340598113.0
OWID_AFR,Africa,2020-06-13,,,1340598113.0
OWID_AFR,Africa,2020-06-14,,,1340598113.0
OWID_AFR,Africa,2020-06-15,,,1340598113.0
OWID_AFR,Africa,2020-06-16,,,1340598113.0
OWID_AFR,Africa,2020-06-17,,,1340598113.0
OWID_AFR,Africa,2020-06-18,,,1340598113.0
OWID_AFR,Africa,2020-06-19,,,1340598113.0
OWID_AFR,Africa,2020-06-20,,,1340598113.0
OWID_AFR,Africa,2020-06-21,,,1340598113.0
OWID_AFR,Africa,2020-06-22,,,1340598113.0
OWID_AFR,Africa,2020-06-23,,,1340598113.0
OWID_AFR,Africa,2020-06-24,,,1340598113.0
OWID_AFR,Africa,2020-06-25,,,1340598113.0
OWID_AFR,Africa,2020-06-26,,,1340598113.0
OWID_AFR,Africa,2020-06-27,,,1340598113.0
OWID_AFR,Africa,2020-06-28,,,1340598113.0
OWID_AFR,Africa,2020-06-29,,,1340598113.0
OWID_AFR,Africa,2020-06-30,,,1340598113.0
OWID_AFR,Africa,2020-07-01,,,1340598113.0
OWID_AFR,Africa,2020-07-02,,,1340598113.0
OWID_AFR,Africa,2020-07-03,,,1340598113.0
