date,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-12-23,26.50602409638554,22.0,0.0,0.0,0.0,43.0,19.0,16.0,40.0,35.0,36.0,31.0,32.0,0.0,0.0,16.0,17.0,0.0,0.0,0.0,26.859371816144158
2020-12-24,89.1566265060241,26.0,22.0,43.0,64.0,50.0,42.0,55.0,45.0,20.0,21.0,18.0,37.0,40.0,55.0,19.0,19.0,18.0,16.0,45.0,59.931689614686746
2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,21.0,21.0,19.0,0.0,21.0,19.0,19.0,0.0,0.0,0.0,23.0,13.288504642971507
2020-12-26,56.62650602409639,25.0,63.0,41.0,20.0,23.0,0.0,36.0,87.0,19.0,0.0,17.0,36.0,0.0,36.0,36.0,37.0,0.0,16.0,22.0,45.95619984668978
2020-12-27,25.30120481927711,23.0,38.0,38.0,55.0,43.0,19.0,33.0,59.0,70.0,36.0,47.0,32.0,35.0,32.0,65.0,17.0,32.0,43.0,20.0,61.39298848232567
2020-12-28,48.19277108433735,21.0,0.0,53.0,17.0,40.0,0.0,15.0,37.0,17.0,17.0,15.0,45.0,0.0,60.0,0.0,31.0,0.0,26.0,19.0,37.142801696115825
2020-12-29,49.39759036144578,87.0,37.0,36.0,35.0,41.0,35.0,31.0,57.0,34.0,17.0,15.0,46.0,50.0,31.0,31.0,16.0,31.0,41.0,0.0,58.018222571536704
2020-12-30,25.30120481927711,67.0,94.0,37.0,36.0,85.0,37.0,32.0,98.0,72.0,73.0,63.0,48.0,53.0,48.0,49.0,49.0,33.0,56.0,79.0,91.35252622284322
2020-12-31,27.710843373493976,24.0,40.0,41.0,39.0,0.0,20.0,17.0,0.0,19.0,19.0,51.0,34.0,37.0,34.0,52.0,36.0,17.0,0.0,21.0,42.580463617927606
2021-01-01,59.036144578313255,26.0,22.0,43.0,21.0,49.0,41.0,18.0,22.0,59.0,61.0,0.0,55.0,81.0,37.0,56.0,56.0,54.0,48.0,0.0,65.07631550859217
2021-01-02,27.710843373493976,47.0,40.0,20.0,78.0,91.0,39.0,34.0,21.0,19.0,38.0,34.0,67.0,37.0,35.0,34.0,53.0,34.0,45.0,21.0,65.61387166574487
2021-01-03,79.51807228915663,47.0,19.0,0.0,38.0,22.0,19.0,16.0,40.0,37.0,37.0,33.0,33.0,18.0,17.0,50.0,52.0,17.0,0.0,41.0,49.57160461483229
2021-01-04,24.09638554216868,0.0,54.0,17.0,34.0,40.0,35.0,45.0,37.0,0.0,34.0,30.0,30.0,32.0,15.0,15.0,78.0,15.0,39.0,37.0,49.215497918667964
2021-01-05,96.3855421686747,42.0,36.0,36.0,17.0,60.0,51.0,30.0,18.0,50.0,17.0,15.0,0.0,33.0,60.0,15.0,62.0,45.0,40.0,19.0,59.78905287262637
2021-01-06,49.39759036144578,21.0,71.0,53.0,35.0,40.0,17.0,30.0,55.0,17.0,68.0,44.0,76.0,66.0,75.0,77.0,63.0,61.0,27.0,56.0,80.64894866047605
2021-01-07,75.90361445783131,44.0,37.0,18.0,53.0,62.0,54.0,46.0,57.0,17.0,17.0,30.0,31.0,0.0,94.0,31.0,32.0,47.0,41.0,38.0,66.43476067107191
2021-01-08,0.0,22.0,18.0,18.0,18.0,20.0,0.0,31.0,19.0,17.0,35.0,15.0,0.0,0.0,31.0,16.0,16.0,16.0,0.0,0.0,23.516626398470784
2021-01-09,0.0,23.0,38.0,19.0,19.0,64.0,38.0,82.0,40.0,18.0,18.0,81.0,48.0,71.0,33.0,100.0,51.0,49.0,43.0,80.0,73.69079847466016
2021-01-10,81.92771084337348,24.0,100.0,98.0,95.0,89.0,38.0,50.0,100.0,37.0,19.0,100.0,34.0,54.0,100.0,34.0,68.0,34.0,43.0,41.0,99.85930389388605
2021-01-11,0.0,0.0,0.0,18.0,0.0,20.0,0.0,15.0,0.0,17.0,34.0,0.0,0.0,17.0,0.0,31.0,16.0,31.0,0.0,37.0,19.00658845903803
2021-01-12,49.39759036144578,43.0,18.0,0.0,35.0,0.0,18.0,46.0,37.0,84.0,34.0,30.0,15.0,33.0,0.0,31.0,0.0,46.0,13.0,75.0,48.9176103008956
2021-01-13,73.49397590361446,0.0,54.0,88.0,52.0,80.0,52.0,60.0,55.0,66.0,84.0,89.0,30.0,82.0,60.0,15.0,47.0,91.0,40.0,72.0,95.8780892498472
2021-01-14,73.49397590361446,63.0,71.0,52.0,34.0,40.0,51.0,45.0,73.0,34.0,68.0,45.0,30.0,66.0,30.0,46.0,31.0,30.0,27.0,56.0,77.7574011003406
2021-01-15,25.30120481927711,0.0,38.0,0.0,18.0,42.0,0.0,16.0,38.0,17.0,36.0,77.0,16.0,34.0,0.0,16.0,33.0,32.0,28.0,19.0,39.084407960488655
2021-01-16,79.51807228915663,23.0,39.0,39.0,0.0,22.0,37.0,82.0,40.0,36.0,0.0,0.0,16.0,0.0,49.0,17.0,34.0,0.0,29.0,60.0,48.52463152174969
2021-01-17,25.30120481927711,45.0,56.0,37.0,92.0,21.0,0.0,64.0,77.0,35.0,18.0,16.0,95.0,17.0,47.0,32.0,100.0,48.0,56.0,39.0,74.11773838286808
