date,/g/11j8_9sv06_0,/g/11j8_9sv06_1,/g/11j8_9sv06_2,/g/11j8_9sv06_3,/g/11j8_9sv06_4,/g/11j8_9sv06_5,/g/11j8_9sv06_6,/g/11j8_9sv06_7,/g/11j8_9sv06_8,/g/11j8_9sv06_9,/g/11j8_9sv06
2020-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-23,6.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,13.0,4.312114989733059
2020-06-24,0.0,11.0,0.0,0.0,0.0,12.0,0.0,0.0,10.0,0.0,3.3880903490759753
2020-06-25,13.0,0.0,23.0,24.0,15.0,13.0,0.0,14.0,10.0,14.0,12.936344969199178
2020-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0266940451745379
2020-06-27,0.0,0.0,0.0,14.0,9.0,14.0,0.0,0.0,12.0,16.0,6.673511293634497
2020-06-28,13.0,11.0,12.0,25.0,0.0,26.0,36.0,0.0,0.0,28.0,15.503080082135522
2020-06-29,6.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,18.0,0.0,4.2094455852156045
2020-06-30,12.0,11.0,11.0,24.0,14.0,0.0,11.0,13.0,0.0,26.0,12.525667351129362
2020-07-01,6.0,21.0,0.0,0.0,14.0,12.0,11.0,0.0,0.0,13.0,7.905544147843942
2020-07-02,0.0,0.0,11.0,0.0,7.0,24.0,23.0,13.0,10.0,13.0,10.369609856262834
2020-07-03,13.0,0.0,23.0,36.0,7.0,49.0,23.0,0.0,10.0,27.0,19.301848049281315
2020-07-04,0.0,25.0,26.0,41.0,25.0,14.0,13.0,31.0,22.0,15.0,21.765913757700204
2020-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-06,6.0,20.0,11.0,12.0,0.0,0.0,11.0,13.0,9.0,0.0,8.418891170431209
2020-07-07,19.0,21.0,22.0,12.0,14.0,0.0,11.0,53.0,19.0,53.0,22.99794661190965
2020-07-08,13.0,22.0,23.0,25.0,15.0,38.0,12.0,42.0,10.0,41.0,24.743326488706366
2020-07-09,7.0,0.0,12.0,0.0,0.0,13.0,12.0,14.0,10.0,14.0,8.418891170431209
2020-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-11,15.0,0.0,27.0,28.0,0.0,15.0,0.0,16.0,0.0,16.0,12.012320328542094
2020-07-12,15.0,13.0,40.0,28.0,17.0,44.0,0.0,16.0,34.0,32.0,24.537987679671456
2020-07-13,0.0,11.0,23.0,0.0,0.0,12.0,23.0,27.0,10.0,40.0,14.989733059548254
2020-07-14,20.0,44.0,0.0,25.0,15.0,13.0,12.0,28.0,10.0,14.0,18.58316221765914
2020-07-15,12.0,0.0,33.0,0.0,14.0,0.0,44.0,39.0,9.0,26.0,18.17248459958932
2020-07-16,6.0,21.0,12.0,0.0,22.0,25.0,46.0,14.0,20.0,14.0,18.480492813141684
2020-07-17,7.0,22.0,36.0,37.0,38.0,26.0,0.0,57.0,10.0,0.0,23.921971252566735
2020-07-18,22.0,25.0,27.0,0.0,17.0,29.0,27.0,16.0,11.0,16.0,19.50718685831622
